algorithm_name,run_n,estate_n,solution_found
BFS,1,8573,Yes
DFS,1,6787,Yes
UCS,1,7858,Yes
DLS,1,6787,Yes
BFS,2,4232,Yes
DFS,2,3039,Yes
UCS,2,12344,Yes
DLS,2,3039,Yes
BFS,3,464,Yes
DFS,3,2164,Yes
UCS,3,3244,Yes
DLS,3,2164,Yes
BFS,4,6713,Yes
DFS,4,6558,Yes
UCS,4,23406,Yes
DLS,4,6558,Yes
BFS,5,4975,Yes
DFS,5,11137,Yes
UCS,5,24225,Yes
DLS,5,8673,Yes
BFS,6,6178,Yes
DFS,6,8673,Yes
UCS,6,20341,Yes
DLS,6,1479,Yes
BFS,7,2873,Yes
DFS,7,1479,Yes
UCS,7,27784,Yes
DLS,7,5445,Yes
BFS,8,4382,Yes
DFS,8,5445,Yes
UCS,8,18005,Yes
DLS,8,7360,Yes
BFS,9,6126,Yes
DFS,9,7360,Yes
UCS,9,31506,Yes
DLS,9,8203,Yes
BFS,10,6619,Yes
DFS,10,8203,Yes
UCS,10,23882,Yes
DLS,10,3226,Yes
BFS,11,2669,Yes
DFS,11,3226,Yes
UCS,11,24757,Yes
DLS,11,6966,Yes
BFS,12,5419,Yes
DFS,12,6966,Yes
UCS,12,10734,Yes
DLS,12,4823,Yes
BFS,13,2281,Yes
DFS,13,13463,Yes
UCS,13,18160,Yes
DLS,13,1558,Yes
BFS,14,6964,Yes
DFS,14,4823,Yes
UCS,14,25279,Yes
DLS,14,1015,Yes
BFS,15,1640,Yes
DFS,15,1558,Yes
UCS,15,11468,Yes
DLS,15,1558,Yes
BFS,16,1626,Yes
DFS,16,1015,Yes
UCS,16,12984,Yes
DLS,16,4780,Yes
BFS,17,2752,Yes
DFS,17,1558,Yes
UCS,17,31880,Yes
DLS,17,1889,Yes
BFS,18,2111,Yes
DFS,18,4780,Yes
UCS,18,1785,Yes
DLS,18,6987,Yes
BFS,19,7200,Yes
DFS,19,1889,Yes
UCS,19,16100,Yes
DLS,19,5156,Yes
BFS,20,6944,Yes
DFS,20,6987,Yes
UCS,20,11651,Yes
DLS,20,8426,Yes
BFS,21,4231,Yes
DFS,21,5156,Yes
UCS,21,3019,Yes
DLS,21,8985,Yes
BFS,22,7627,Yes
DFS,22,8426,Yes
UCS,22,10507,Yes
DLS,22,4933,Yes
BFS,23,1837,Yes
DFS,23,12841,Yes
UCS,23,20501,Yes
DLS,23,2943,Yes
BFS,24,4409,Yes
DFS,24,8985,Yes
UCS,24,24718,Yes
DLS,24,2030,Yes
BFS,25,2104,Yes
DFS,25,4933,Yes
UCS,25,26340,Yes
DLS,25,8645,Yes
BFS,26,8387,Yes
DFS,26,15579,Yes
UCS,26,205,Yes
DLS,26,5000,No
BFS,27,3754,Yes
DFS,27,2943,Yes
UCS,27,8267,Yes
DLS,27,5000,No
BFS,28,1750,Yes
DFS,28,2030,Yes
UCS,28,25349,Yes
DLS,28,5000,No
BFS,29,1833,Yes
DFS,29,14009,Yes
UCS,29,29768,Yes
DLS,29,5000,No
BFS,30,3721,Yes
DFS,30,8645,Yes
UCS,30,30488,Yes
DLS,30,5000,No
